Designator,Mid X,Mid Y,Layer,Rotation
D_0,80.684200mm,-118.534120mm,Bottom,90
D_1,99.734200mm,-118.534120mm,Bottom,90
D_2,118.784200mm,-118.534120mm,Bottom,90
D_3,137.834200mm,-118.534120mm,Bottom,90
D_4,156.884200mm,-118.534120mm,Bottom,90
D_5,175.934200mm,-118.534120mm,Bottom,90
D_6,194.984200mm,-118.534120mm,Bottom,90
D_7,214.034200mm,-118.534120mm,Bottom,90
D_8,233.084200mm,-118.534120mm,Bottom,90
D_9,252.134200mm,-118.534120mm,Bottom,90
D_10,271.184200mm,-118.534120mm,Bottom,90
D_11,290.234200mm,-118.534120mm,Bottom,90
D_12,309.284200mm,-118.534120mm,Bottom,90
D_13,347.384200mm,-118.534120mm,Bottom,90
D_16,90.359200mm,-137.634120mm,Bottom,90
D_17,109.409200mm,-137.634120mm,Bottom,90
D_18,128.459200mm,-137.634120mm,Bottom,90
D_19,147.509200mm,-137.634120mm,Bottom,90
D_20,166.559200mm,-137.634120mm,Bottom,90
D_21,185.609200mm,-137.634120mm,Bottom,90
D_22,204.659200mm,-137.634120mm,Bottom,90
D_23,223.709200mm,-137.634120mm,Bottom,90
D_24,242.759200mm,-137.634120mm,Bottom,90
D_25,261.809200mm,-137.634120mm,Bottom,90
D_26,280.859200mm,-137.634120mm,Bottom,90
D_27,299.909200mm,-137.634120mm,Bottom,90
D_28,318.959200mm,-137.634120mm,Bottom,90
D_29,347.234200mm,-156.584120mm,Bottom,90
D_32,85.646700mm,-156.609120mm,Bottom,90
D_33,114.221700mm,-156.609120mm,Bottom,90
D_34,133.271700mm,-156.609120mm,Bottom,90
D_35,152.321700mm,-156.609120mm,Bottom,90
D_36,171.371700mm,-156.609120mm,Bottom,90
D_37,190.421700mm,-156.609120mm,Bottom,90
D_38,209.471700mm,-156.609120mm,Bottom,90
D_39,228.521700mm,-156.609120mm,Bottom,90
D_40,247.571700mm,-156.609120mm,Bottom,90
D_41,266.621700mm,-156.609120mm,Bottom,90
D_42,285.671700mm,-156.609120mm,Bottom,90
D_43,304.721700mm,-156.609120mm,Bottom,90
D_44,323.771700mm,-156.609120mm,Bottom,90
D_47,85.496700mm,-175.684120mm,Bottom,90
D_48,104.546700mm,-175.684120mm,Bottom,90
D_49,123.596700mm,-175.684120mm,Bottom,90
D_50,142.646700mm,-174.775000mm,Bottom,90
D_51,161.696700mm,-175.684120mm,Bottom,90
D_52,180.746700mm,-175.684120mm,Bottom,90
D_53,199.796700mm,-175.684120mm,Bottom,90
D_54,218.846700mm,-174.550000mm,Bottom,90
D_55,237.896700mm,-175.684120mm,Bottom,90
D_56,256.946700mm,-175.684120mm,Bottom,90
D_57,275.996700mm,-175.684120mm,Bottom,90
D_58,295.046700mm,-175.684120mm,Bottom,90
D_59,321.784200mm,-175.684120mm,Bottom,90
D_60,347.434200mm,-175.684120mm,Bottom,90
D_61,366.484200mm,-175.684120mm,Bottom,90
D_62,369.250000mm,-175.684120mm,Bottom,90
D_63,85.346700mm,-190.209120mm,Bottom,90
D_64,109.159200mm,-190.209120mm,Bottom,90
D_65,132.971700mm,-190.209120mm,Bottom,90
D_66,175.834200mm,-190.209120mm,Bottom,90
D_67,209.171700mm,-190.209120mm,Bottom,90
D_68,252.034200mm,-190.209120mm,Bottom,90
D_69,271.084200mm,-190.209120mm,Bottom,90
D_70,290.134200mm,-190.209120mm,Bottom,90
D_71,309.184200mm,-190.209120mm,Bottom,90
D_72,328.234200mm,-190.209120mm,Bottom,90
D_73,347.284200mm,-190.209120mm,Bottom,90
D_74,366.334200mm,-190.209120mm,Bottom,90
D_75,368.750000mm,-190.209120mm,Bottom,90
